project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2007160,Cam9 02/10/2024,Cam9,-80.47311,36.34041996,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099587,Reconyx Hyperfire 2,0,Camera Functioning,Knee height,,Parallel,,,,22.1,,,,,,,
2007160,PM21 02/10/2024,PM21,-80.46339001,36.33248004,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099587,Reconyx Hyperfire 2,0,Camera Functioning,Knee height,,Parallel,,,,19.5,,,,,,,
2007160,PM9 02/10/2024,PM9,-80.48568998,36.34313,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,cam2 02/10/2024,cam2,-80.49789,36.35084999,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,good calibration and deer
2007160,Cam5 02/10/2024,Cam5,-80.46870003,36.34690002,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,pm11.2 02/10/2024,PM11.2,-80.48437997,36.33639003,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,19,,,,,,,
2007160,Cam7 02/10/2024,Cam7,-80.4878,36.341747,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099591,Browning Recon Force Elite,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,cam26 02/10/2024,cam26,-80.50343002,36.3537,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,PM6 02/10/2024,PM6,-80.47482996,36.34828999,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099591,Browning Recon Force Elite,0,Camera Functioning,Knee height,,Parallel,,,,11.5,,,,,,,
2007160,Cam20 02/10/2024,Cam20.3,-80.48893,36.33536,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099597,HC500 Hyperfire Semi-Covert IR_,0,Camera Functioning,Knee height,,Parallel,,,,20.6,,,,,,,
2007160,pm1 02/10/2024,pm1,-80.49937997,36.35281999,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,Cam15 02/10/2024,Cam15,-80.47439,36.331297,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099596,HC500 Hyperfire Semi-Covert IR,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
